CodeSite_SamplingOperations,Longitude_Lambert93,Latitude_Lambert93,Watershed,CodeDepartement,HERlvl1Code,HERlvl1Name,HERlvl2Code,HERlvl2Name,Altitude,Streamsize
S06029000,924274.0,6681913.0,Rhône-Méditerranée,25,5,JURA-PREALPES DU NORD,2,Jura premier plateau,235.0,G
S05001600,395953.0,6539670.0,Adour-Garonne,17,9,TABLES CALCAIRES,97,TC - Charentes Poitou,5.0,TP
S02115685,897271.0,6926871.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,236.0,P
S02115775,878162.0,6939028.0,Rhin-Meuse,55,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,191.0,M
S05035300,538055.0,6502850.0,Adour-Garonne,87,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,309.0,TP
S06026000,983462.0,6715682.0,Rhône-Méditerranée,25,5,JURA-PREALPES DU NORD,2,Jura premier plateau,310.0,G
S02041575,1028581.0,6885220.0,Rhin-Meuse,57,4,VOSGES,74,Vosges greseuses,211.0,TP
S06000993,918248.0,6763595.0,Rhône-Méditerranée,70,10,COTES CALCAIRES EST,98,Collines sous-Vosgiennes,230.0,M
S06000998,919249.0,6772736.0,Rhône-Méditerranée,88,4,VOSGES,74,Vosges greseuses,241.0,M
S02094920,945602.0,6934072.0,Rhin-Meuse,57,10,COTES CALCAIRES EST,25,Plateau lorrain,173.0,TP
S06000890,913808.0,6763319.0,Rhône-Méditerranée,52,10,COTES CALCAIRES EST,98,Collines sous-Vosgiennes,239.0,P
S06113000,835116.0,6373998.0,Rhône-Méditerranée,07,6,MEDITERRANEEN,105,Plaine mediterraneenne,61.0,TG
S06101000,841840.0,6469616.0,Rhône-Méditerranée,38,5,JURA-PREALPES DU NORD,85,Collines du Bas Dauphine,141.0,P
S06106250,852607.0,6429878.0,Rhône-Méditerranée,26,6,MEDITERRANEEN,105,Plaine mediterraneenne,149.0,TP
S06035690,819700.0,6634689.0,Rhône-Méditerranée,71,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,249.0,P
S05142100,629764.0,6316920.0,Adour-Garonne,81,14,COTEAUX AQUITAINS,68,Coteaux molassiques Est Aquitaine,139.0,G
S05176850,546845.0,6231930.0,Adour-Garonne,31,14,COTEAUX AQUITAINS,68,Coteaux molassiques Est Aquitaine,254.0,P
S05120100,628091.0,6323090.0,Adour-Garonne,81,14,COTEAUX AQUITAINS,68,Coteaux molassiques Est Aquitaine,277.0,TP
S05086280,540391.0,6368240.0,Adour-Garonne,47,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,125.0,TP
S05173200,581137.0,6182470.0,Adour-Garonne,09,1,PYRENEES,95,Pyrenees Etage alpin et subalpin central,932.0,TP
S05082000,471406.0,6378420.0,Adour-Garonne,47,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,24.0,M
S05084000,491337.0,6365580.0,Adour-Garonne,47,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,29.0,G
S05061942,621859.0,6415890.0,Adour-Garonne,46,3,MASSIF CENTRAL SUD,93,MC versant occidental,472.0,TP
S05104500,487062.0,6351140.0,Adour-Garonne,47,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,31.0,G
S05107000,486913.0,6342310.0,Adour-Garonne,47,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,46.0,M
S05197200,356002.0,6306690.0,Adour-Garonne,40,13,LANDES,21,Landes,10.0,TP
S05024000,487100.0,6563300.0,Adour-Garonne,86,9,TABLES CALCAIRES,97,TC - Charentes Poitou,103.0,P
S05029800,448702.0,6442620.0,Adour-Garonne,33,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,5.0,
S05000150,392867.0,6525200.0,Adour-Garonne,17,9,TABLES CALCAIRES,97,TC - Charentes Poitou,5.0,
S05076800,422055.0,6375440.0,Adour-Garonne,33,13,LANDES,21,Landes,56.0,TP
S06010000,892702.0,6690621.0,Rhône-Méditerranée,70,15,PLAINE SAONE,81,Plaine de Bourgogne,190.0,G
S06300300,981257.0,6726783.0,Rhône-Méditerranée,70,10,COTES CALCAIRES EST,75,Collines de Haute-Saone,331.0,TP
S06027700,937963.0,6691990.0,Rhône-Méditerranée,25,5,JURA-PREALPES DU NORD,2,Jura premier plateau,250.0,G
S06031200,886281.0,6662370.0,Rhône-Méditerranée,39,15,PLAINE SAONE,84,Bresse,195.0,TG
S06440445,924109.0,6697004.0,Rhône-Méditerranée,70,10,COTES CALCAIRES EST,75,Collines de Haute-Saone,215.0,G
S06020100,998675.0,6692084.0,Rhône-Méditerranée,25,5,JURA-PREALPES DU NORD,3,Jura nord,495.0,M
S06970900,894594.0,6580272.0,Rhône-Méditerranée,39,5,JURA-PREALPES DU NORD,2,Jura premier plateau,309.0,M
S06416300,937751.0,6729704.0,Rhône-Méditerranée,70,10,COTES CALCAIRES EST,75,Collines de Haute-Saone,221.0,M
S05233500,455316.0,6289770.0,Adour-Garonne,32,14,COTEAUX AQUITAINS,77,Coteaux molassiques bassin de l'adour,112.0,G
S02060750,925444.0,6853883.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,194.0,TG
S06042500,885376.0,6617080.0,Rhône-Méditerranée,71,15,PLAINE SAONE,84,Bresse,196.0,P
S06043869,875368.0,6604208.0,Rhône-Méditerranée,71,15,PLAINE SAONE,84,Bresse,186.0,M
S06044900,857024.0,6608773.0,Rhône-Méditerranée,71,15,PLAINE SAONE,84,Bresse,175.0,M
S06045000,849244.0,6603403.0,Rhône-Méditerranée,71,15,PLAINE SAONE,84,Bresse,172.0,M
S06436900,939230.0,6702728.0,Rhône-Méditerranée,25,10,COTES CALCAIRES EST,75,Collines de Haute-Saone,231.0,TP
S06037300,853525.0,6651204.0,Rhône-Méditerranée,71,15,PLAINE SAONE,81,Plaine de Bourgogne,178.0,P
S06106600,845322.0,6418865.0,Rhône-Méditerranée,07,8,CEVENNES,71,Cevennes,102.0,TG
S06016000,860089.0,6687250.0,Rhône-Méditerranée,21,15,PLAINE SAONE,81,Plaine de Bourgogne,213.0,M
S03013372,721913.0,6817563.0,Seine-Normandie,77,9,TABLES CALCAIRES,38,TC-aureole cretace,57.0,TP
S03187000,573650.0,6817853.0,Seine-Normandie,28,9,TABLES CALCAIRES,54,TC-Nord Loire-Perche,154.0,P
S03193520,570167.8,6840363.24,Seine-Normandie,28,9,TABLES CALCAIRES,54,TC-Nord Loire-Perche,129.0,P
S03029000,738800.0,6758574.0,Seine-Normandie,89,9,TABLES CALCAIRES,40,Champagne humide,81.0,G
S03036070,753263.0,6757092.0,Seine-Normandie,89,9,TABLES CALCAIRES,40,Champagne humide,109.0,M
S03039000,739696.0,6761869.0,Seine-Normandie,89,9,TABLES CALCAIRES,38,TC-aureole cretace,83.0,G
S06179800,669568.0,6222968.0,Rhône-Méditerranée,11,6,MEDITERRANEEN,105,Plaine mediterraneenne,98.0,P
S06175540,629532.0,6179206.0,Rhône-Méditerranée,11,1,PYRENEES,24,Pyrenees orientales,997.0,M
S06176950,641219.0,6204601.0,Rhône-Méditerranée,11,6,MEDITERRANEEN,114,Corbieres,240.0,P
S05013100,445607.0,6517490.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,10.0,TP
S05013200,444429.0,6515150.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,8.0,M
S05013900,464244.0,6507000.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,20.0,M
S05018000,478484.0,6512760.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,34.0,M
S05018800,471936.0,6534080.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,53.0,TP
S05021000,502434.0,6511030.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,99.0,P
S06006900,977287.0,6754276.0,Rhône-Méditerranée,70,4,VOSGES,63,Vosges granitiques,429.0,M
S06004870,900168.0,6709029.0,Rhône-Méditerranée,70,15,PLAINE SAONE,81,Plaine de Bourgogne,193.0,P
S03027000,749851.25,6727158.12,Seine-Normandie,89,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,113.0,M
S06027000,977341.0,6712451.0,Rhône-Méditerranée,25,5,JURA-PREALPES DU NORD,2,Jura premier plateau,300.0,G
S06107980,880001.0,6399472.0,Rhône-Méditerranée,26,7,PREALPES DU SUD,14,Prealpes dromoises Baronnies,353.0,TP
S06456610,996361.0,6725841.0,Rhône-Méditerranée,90,18,ALSACE,73,Collines du Sundgau,331.0,M
S06018150,954240.0,6654629.0,Rhône-Méditerranée,25,5,JURA-PREALPES DU NORD,3,Jura nord,805.0,P
S06416550,884079.0,6747955.0,Rhône-Méditerranée,52,10,COTES CALCAIRES EST,98,Collines sous-Vosgiennes,296.0,TP
S03145290,851397.0,6870317.0,Seine-Normandie,55,9,TABLES CALCAIRES,40,Champagne humide,187.0,TP
S05133400,654883.0,6302470.0,Adour-Garonne,81,3,MASSIF CENTRAL SUD,93,MC versant occidental,431.0,P
S05042000,531348.0,6456690.0,Adour-Garonne,24,11,CAUSSES AQUITAINS,64,Collines Calcaires de Dordogne (cahors),94.0,TP
S05057180,629091.0,6503120.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,89,Hautes Terres Limousines,859.0,P
S05118705,524354.0,6301760.0,Adour-Garonne,32,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,120.0,TP
S05118707,528053.0,6293570.0,Adour-Garonne,32,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,129.0,P
S05153960,525921.0,6280140.0,Adour-Garonne,32,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,153.0,P
S05229120,445602.0,6314660.0,Adour-Garonne,32,14,COTEAUX AQUITAINS,77,Coteaux molassiques bassin de l'adour,75.0,TP
S06121500,841687.0,6331899.0,Rhône-Méditerranée,84,6,MEDITERRANEEN,105,Plaine mediterraneenne,29.0,TG
S02001500,1046252.0,6813302.0,Rhin-Meuse,67,18,ALSACE,62,Alsace- plaine,160.0,TP
S03021000,757355.0,6830615.0,Seine-Normandie,51,9,TABLES CALCAIRES,38,TC-aureole cretace,71.0,G
S03043450,760996.0,6794704.0,Seine-Normandie,10,9,TABLES CALCAIRES,38,TC-aureole cretace,142.0,TP
S05153970,519355.0,6272780.0,Adour-Garonne,32,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,170.0,TP
S03023000,810274.0,6817520.0,Seine-Normandie,10,9,TABLES CALCAIRES,40,Champagne humide,108.0,M
S03085857,865102.0,6774002.0,Seine-Normandie,52,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,279.0,TP
S03086100,859775.3,6788638.49,Seine-Normandie,52,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,240.0,M
S02086030,910885.0,6897605.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,27,Plaine de Woevre,199.0,TP
S05116100,533469.0,6345990.0,Adour-Garonne,82,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,82.0,P
S05118950,542126.0,6334520.0,Adour-Garonne,82,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,63.0,TG
S02067585,980417.0,6827225.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,25,Plateau lorrain,267.0,TP
S02115725,890006.0,6930024.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,219.0,P
S05153000,549220.0,6321070.0,Adour-Garonne,82,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,83.0,M
S06005550,893123.0,6703385.0,Rhône-Méditerranée,70,15,PLAINE SAONE,81,Plaine de Bourgogne,190.0,TP
S05218500,451963.0,6205540.0,Adour-Garonne,65,1,PYRENEES,94,Pyrenees Etage alpin et subalpin occidental,601.0,P
S06439900,890241.0,6693622.0,Rhône-Méditerranée,70,15,PLAINE SAONE,81,Plaine de Bourgogne,189.0,TP
S05122000,610252.0,6337360.0,Adour-Garonne,81,11,CAUSSES AQUITAINS,65,Causses du Quercy,131.0,P
S05133000,633588.0,6296740.0,Adour-Garonne,81,14,COTEAUX AQUITAINS,68,Coteaux molassiques Est Aquitaine,190.0,P
S02106410,959898.0,6920318.0,Rhin-Meuse,57,10,COTES CALCAIRES EST,25,Plateau lorrain,189.0,M
S06470900,898685.0,6647087.0,Rhône-Méditerranée,39,15,PLAINE SAONE,84,Bresse,228.0,TP
S06041665,885228.0,6641724.0,Rhône-Méditerranée,71,15,PLAINE SAONE,84,Bresse,193.0,TP
S05157800,599125.0,6248110.0,Adour-Garonne,11,14,COTEAUX AQUITAINS,68,Coteaux molassiques Est Aquitaine,196.0,P
S03212150,576657.0,6951753.0,Seine-Normandie,76,9,TABLES CALCAIRES,57,TC - Hte Normandie Picardie,116.0,P
S03025238,737272.0,6699957.0,Seine-Normandie,58,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,169.0,M
S03025919,734089.0,6715100.0,Seine-Normandie,89,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,161.0,TP
S03179000,582748.0,6928431.0,Seine-Normandie,27,9,TABLES CALCAIRES,57,TC - Hte Normandie Picardie,56.0,M
S06710030,931683.0,6317300.0,Rhône-Méditerranée,04,6,MEDITERRANEEN,56,Collines de Basse Provence,346.0,P
S03033240,773745.0,6677753.0,Seine-Normandie,58,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,473.0,P
S03221625,530075.0,6905789.0,Seine-Normandie,27,9,TABLES CALCAIRES,57,TC - Hte Normandie Picardie,58.0,P
S06012055,865368.0,6714857.0,Rhône-Méditerranée,21,10,COTES CALCAIRES EST,1,Plateau calcaire haute Saone,256.0,M
S03214000,563092.0,6981244.0,Seine-Normandie,76,9,TABLES CALCAIRES,57,TC - Hte Normandie Picardie,5.0,M
S02096575,1000440.0,6873973.0,Rhin-Meuse,67,10,COTES CALCAIRES EST,25,Plateau lorrain,248.0,TP
S02115840,873115.0,6943222.0,Rhin-Meuse,55,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,200.0,TP
S02099550,997459.0,6896080.0,Rhin-Meuse,57,10,COTES CALCAIRES EST,25,Plateau lorrain,206.0,TP
S03219000,496588.0,6939330.0,Seine-Normandie,76,9,TABLES CALCAIRES,57,TC - Hte Normandie Picardie,5.0,P
S06115080,815060.0,6374421.0,Rhône-Méditerranée,07,6,MEDITERRANEEN,104,Garrigues sub cevenoles,185.0,P
S06300046,857860.0,6391079.0,Rhône-Méditerranée,26,6,MEDITERRANEEN,105,Plaine mediterraneenne,222.0,TP
S05019940,486600.0,6533800.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,66.0,P
S05021100,506726.0,6511030.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,117.0,TP
S05018900,467595.0,6542800.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,71.0,TP
S06168200,702591.0,6161162.0,Rhône-Méditerranée,66,6,MEDITERRANEEN,105,Plaine mediterraneenne,6.0,TP
S03024245,773605.0,6659171.0,Seine-Normandie,58,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,443.0,M
S05011710,458351.0,6496290.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,43.0,TP
S05023200,489911.0,6557440.0,Adour-Garonne,86,9,TABLES CALCAIRES,97,TC - Charentes Poitou,104.0,TP
S05024250,509581.0,6540990.0,Adour-Garonne,16,20,DEPOTS ARGILO SABLEUX,42,Epandages eluviaux,158.0,TP
S05015950,480233.0,6512130.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,36.0,TP
S05016100,484365.0,6512220.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,44.0,TP
S05016500,485172.0,6511000.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,45.0,TP
S03035000,778246.0,6717146.0,Seine-Normandie,89,10,COTES CALCAIRES EST,51,Bazois Auxois,200.0,P
S05007280,425149.0,6520400.0,Adour-Garonne,17,9,TABLES CALCAIRES,97,TC - Charentes Poitou,10.0,TP
S05010960,435581.0,6508200.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,15.0,TP
S05029870,450814.0,6460090.0,Adour-Garonne,17,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,40.0,TP
S06116720,871491.0,6365837.0,Rhône-Méditerranée,26,7,PREALPES DU SUD,14,Prealpes dromoises Baronnies,275.0,P
S03044580,739829.0,6792561.0,Seine-Normandie,89,9,TABLES CALCAIRES,38,TC-aureole cretace,100.0,P
S05007950,423004.0,6492130.0,Adour-Garonne,17,9,TABLES CALCAIRES,97,TC - Charentes Poitou,24.0,TP
S03032675,777841.0,6706143.0,Seine-Normandie,89,21,MASSIF CENTRAL NORD,87,Morvan - Charollais,287.0,P
S03035455,770431.0,6737293.0,Seine-Normandie,89,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,159.0,P
S02100600,1026267.0,6901181.0,Rhin-Meuse,57,4,VOSGES,74,Vosges greseuses,258.0,P
S06491650,888036.0,6627727.0,Rhône-Méditerranée,39,15,PLAINE SAONE,84,Bresse,202.0,TP
S05006895,417738.0,6533410.0,Adour-Garonne,17,9,TABLES CALCAIRES,97,TC - Charentes Poitou,3.0,TP
S05025650,433031.0,6466680.0,Adour-Garonne,17,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,56.0,TP
S03186700,549918.0,6826784.5,Seine-Normandie,28,9,TABLES CALCAIRES,54,TC-Nord Loire-Perche,199.0,P
S03189315,603919.0,6824962.0,Seine-Normandie,28,9,TABLES CALCAIRES,36,BP-Ile de France,113.0,TP
S03189398,598584.92,6829882.95,Seine-Normandie,28,9,TABLES CALCAIRES,38,TC-aureole cretace,109.0,TP
S06471450,993304.0,6720965.0,Rhône-Méditerranée,25,18,ALSACE,73,Collines du Sundgau,331.0,TP
S02043500,1025007.0,6863716.0,Rhin-Meuse,67,18,ALSACE,61,Alsace-collines,177.0,P
S02045000,1063730.0,6862656.0,Rhin-Meuse,67,18,ALSACE,62,Alsace- plaine,123.0,M
S03014000,697015.0,6809837.0,Seine-Normandie,77,9,TABLES CALCAIRES,38,TC-aureole cretace,49.0,G
S02001700,1061961.0,6853655.0,Rhin-Meuse,67,18,ALSACE,62,Alsace- plaine,130.0,TG
S02042000,1047895.0,6868552.0,Rhin-Meuse,67,18,ALSACE,62,Alsace- plaine,148.0,P
S02042500,1058121.0,6862722.0,Rhin-Meuse,67,18,ALSACE,62,Alsace- plaine,126.0,M
S02044000,1051075.0,6856353.0,Rhin-Meuse,67,18,ALSACE,62,Alsace- plaine,135.0,M
S03066000,654315.58,6806888.75,Seine-Normandie,91,9,TABLES CALCAIRES,38,TC-aureole cretace,66.0,P
S02001050,1049248.0,6811780.0,Rhin-Meuse,67,18,ALSACE,62,Alsace- plaine,159.0,TG
S02001725,1044874.0,6806422.0,Rhin-Meuse,67,18,ALSACE,62,Alsace- plaine,164.0,TP
S05018400,475338.0,6524590.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,42.0,M
S06212600,1033315.0,6314069.0,Rhône-Méditerranée,06,7,PREALPES DU SUD,106,Prealpes Digne Haute vallee du var,141.0,TP
S02001715,1037861.0,6797189.0,Rhin-Meuse,67,18,ALSACE,62,Alsace- plaine,175.0,
S02002000,1016715.0,6732366.0,Rhin-Meuse,68,18,ALSACE,73,Collines du Sundgau,293.0,P
S02003100,1020958.0,6733349.0,Rhin-Meuse,68,18,ALSACE,73,Collines du Sundgau,284.0,TP
S02007000,1026058.0,6755610.0,Rhin-Meuse,68,18,ALSACE,62,Alsace- plaine,226.0,G
S02022000,1029238.0,6796402.0,Rhin-Meuse,68,18,ALSACE,62,Alsace- plaine,177.0,G
S06700070,1063929.0,6320764.0,Rhône-Méditerranée,06,2,ALPES INTERNES,107,Alpes Internes du Sud,158.0,P
S02000010,1039381.0,6737723.0,Rhin-Meuse,68,18,ALSACE,62,Alsace- plaine,246.0,
S02000011,1039269.0,6738650.0,Rhin-Meuse,68,18,ALSACE,62,Alsace- plaine,232.0,TG
S02013000,1028074.0,6772168.0,Rhin-Meuse,68,18,ALSACE,62,Alsace- plaine,202.0,G
S02050000,970295.0,6774446.0,Rhin-Meuse,88,4,VOSGES,63,Vosges granitiques,386.0,M
S02054500,951324.0,6806729.0,Rhin-Meuse,88,10,COTES CALCAIRES EST,25,Plateau lorrain,286.0,G
S02106600,894088.0,6796572.0,Rhin-Meuse,52,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,304.0,P
S02107000,899841.0,6822563.0,Rhin-Meuse,55,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,265.0,G
S02059500,916111.0,6842336.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,210.0,TG
S02060500,918496.0,6849564.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,200.0,TG
S02070000,963571.0,6826085.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,25,Plateau lorrain,243.0,M
S04119750,449442.4,6781307.0,Loire-Bretagne,53,12,ARMORICAIN,55,MA-nord est,0.0,P
S04606003,447029.4,6772767.0,Loire-Bretagne,53,12,ARMORICAIN,117,MA-est interieur,0.0,P
S05015320,483036.0,6502550.0,Adour-Garonne,16,11,CAUSSES AQUITAINS,64,Collines Calcaires de Dordogne (cahors),107.0,TP
S05092200,617232.0,6380570.0,Adour-Garonne,12,11,CAUSSES AQUITAINS,65,Causses du Quercy,154.0,G
S05099150,678740.0,6381350.0,Adour-Garonne,12,3,MASSIF CENTRAL SUD,93,MC versant occidental,337.0,M
S05019930,483408.0,6534300.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,60.0,P
S02110000,882814.0,6872950.0,Rhin-Meuse,55,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,213.0,G
S02093100,932927.0,6923874.0,Rhin-Meuse,57,10,COTES CALCAIRES EST,25,Plateau lorrain,149.0,TG
S02115750,882033.0,6934521.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,196.0,M
S06006720,877379.0,6696796.0,Rhône-Méditerranée,21,15,PLAINE SAONE,81,Plaine de Bourgogne,193.0,TP
S02115000,844589.0,6952233.0,Rhin-Meuse,08,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,155.0,G
S02115950,867665.0,6948605.0,Rhin-Meuse,08,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,186.0,P
S02118000,828021.0,6961324.0,Rhin-Meuse,08,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,145.0,TG
S02118750,827678.0,6970227.0,Rhin-Meuse,08,22,ARDENNES,34,Ardennes,162.0,TP
S02119000,825390.0,6969994.0,Rhin-Meuse,08,22,ARDENNES,34,Ardennes,140.0,TG
S02123000,827785.0,7003274.0,Rhin-Meuse,08,22,ARDENNES,34,Ardennes,104.0,TG
S05180295,552811.0,6208060.0,Adour-Garonne,09,1,PYRENEES,96,Pyrenees Etage montagnard,454.0,TP
S05055150,611184.0,6482410.0,Adour-Garonne,19,3,MASSIF CENTRAL SUD,93,MC versant occidental,549.0,TP
S02076180,915087.0,6865389.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,219.0,TP
S02109000,886362.0,6866358.0,Rhin-Meuse,55,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,220.0,G
S02113000,859020.0,6925970.0,Rhin-Meuse,55,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,170.0,G
S06000997,923751.0,6761653.0,Rhône-Méditerranée,70,10,COTES CALCAIRES EST,98,Collines sous-Vosgiennes,225.0,P
